state,totalvotes,demvotes,demec,repvotes,repec,libvotes,,,,
Alabama ,"2,123,372","729,547",,"1,318,255",9,"44,467",,,,
Alaska ,"318,608","116,454",,"163,387",3,"18,725",,,,
Arizona ,"2,573,165","1,161,167",,"1,252,401",11,"106,327",,,,
Arkansas ,"1,130,635","380,494",,"684,872",6,"29,829",,,,
California,"14,181,595","8,753,788",55,"4,483,810",,"478,500",,,,
Colorado,"2,780,220","1,338,870",9,"1,202,484",,"144,121",,,,
Connecticut,"1,644,920","897,572",7,"673,215",,"48,676",,,,
Delaware ,"441,590","235,603",3,"185,127",,"14,757",,,,
District of Columbia,"311,268","282,830",3,"12,723",,"4,906",,,,
Florida ,"9,420,039","4,504,975",,"4,617,886",29,"207,043",,,,
Georgia ,"4,092,373","1,877,963",,"2,089,104",16,"125,306",,,,
Hawaii,"428,937","266,891",3,"128,847",,"15,954",,,,
Idaho,"690,255","189,765",,"409,055",4,"28,331",,,,
Illinois ,"5,536,424","3,090,729",20,"2,146,015",,"209,596",,,,
Indiana ,"2,734,958","1,033,126",,"1,557,286",11,"133,993",,,,
Iowa ,"1,566,031","653,669",,"800,983",6,"59,186",,,,
Kansas ,"1,184,402","427,005",,"671,018",6,"55,406",,,,
Kentucky,"1,924,149","628,854",,"1,202,971",8,"53,752",,,,
Louisiana ,"2,029,032","780,154",,"1,178,638",8,"37,978",,,,
Maine ,"747,927","357,735",3,"335,593",1,"38,105",,,,
Maryland,"2,781,446","1,677,928",10,"943,169",,"79,605",,,,
Massachusetts,"3,325,046","1,995,196",11,"1,090,893",,"138,018",,,,
Michigan ,"4,799,284","2,268,839",,"2,279,543",16,"172,136",,,,
Minnesota,"2,944,813","1,367,716",10,"1,322,951",,"112,972",,,,
Mississippi ,"1,209,357","485,131",,"700,714",6,"14,435",,,,
Missouri ,"2,808,605","1,071,068",,"1,594,511",10,"97,359",,,,
Montana ,"494,526","177,709",,"279,240",3,"28,037",,,,
Nebraska ,"1,688,354","568,940",,"991,808",5,"77,879",,,,
Nevada,"1,125,385","539,260",6,"512,058",,"37,384",,,,
New Hampshire ,"744,296","348,526",4,"345,790",,"30,777",,,,
New Jersey ,"3,874,046","2,148,278",14,"1,601,933",,"72,477",,,,
New Mexico,"798,318","385,234",5,"319,666",,"74,541",,,,
New York,"7,721,453","4,556,124",29,"2,819,534",,"176,598",,,,
North Carolina ,"4,741,564","2,189,316",,"2,362,631",15,"130,126",,,,
North Dakota ,"344,360","93,758",,"216,794",3,"21,434",,,,
Ohio ,"5,496,487","2,394,164",,"2,841,005",18,"174,498",,,,
Oklahoma ,"1,452,992","420,375",,"949,136",7,"83,481",,,,
Oregon,"2,001,336","1,002,106",7,"782,403",,"94,231",,,,
Pennsylvania ,"6,115,402","2,926,441",,"2,970,733",20,"146,715",,,,
Rhode Island,"464,144","252,525",4,"180,543",,"14,746",,,,
South Carolina ,"2,103,027","855,373",,"1,155,389",9,"49,204",,,,
South Dakota ,"370,093","117,458",,"227,721",3,"20,850",,,,
Tennessee ,"2,508,027","870,695",,"1,522,925",11,"70,397",,,,
Texas ,"8,969,226","3,877,868",,"4,685,047",36,"283,492",,,,
Utah ,"1,131,430","310,676",,"515,231",6,"39,608",,,,
Vermont,"315,067","178,573",3,"95,369",,"10,078",,,,
Virginia ,"3,982,752","1,981,473",13,"1,769,443",,"118,274",,,,
Washington,"3,209,214","1,742,718",8,"1,221,747",,"160,879",,,,
West Virginia ,"713,051","188,794",,"489,371",5,"23,004",,,,
Wisconsin ,"2,976,150","1,382,536",,"1,405,284",10,"106,674",,,,
Wyoming,"255,849","55,973",,"174,419",3,"13,287",,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
